MatchId,BotType,Result,TimeMs,TotalClicks
151,Bot0,DEFEAT,0.00750,4
152,Bot0,DEFEAT,0.01020,2
153,Bot0,DEFEAT,0.01090,3
154,Bot0,DEFEAT,0.00380,3
155,Bot0,DEFEAT,0.01310,4
156,Bot0,DEFEAT,0.86660,5
157,Bot0,DEFEAT,0.01010,4
158,Bot0,DEFEAT,0.01330,5
159,Bot0,DEFEAT,0.01060,5
160,Bot0,DEFEAT,0.01120,3
161,Bot0,DEFEAT,0.01840,10
162,Bot0,DEFEAT,0.00490,4
163,Bot0,DEFEAT,0.01170,5
164,Bot0,DEFEAT,0.01150,3
165,Bot0,DEFEAT,0.00980,5
166,Bot0,DEFEAT,0.00790,2
167,Bot0,DEFEAT,0.01090,2
168,Bot0,DEFEAT,0.01130,5
169,Bot0,DEFEAT,0.00920,2
170,Bot0,DEFEAT,0.00590,3
171,Bot0,DEFEAT,0.01130,4
172,Bot0,DEFEAT,0.00180,1
173,Bot0,DEFEAT,0.01000,2
174,Bot0,DEFEAT,0.01320,4
175,Bot0,DEFEAT,0.00440,3
176,Bot0,DEFEAT,0.00860,3
177,Bot0,DEFEAT,0.00720,2
178,Bot0,DEFEAT,0.01900,7
179,Bot0,DEFEAT,0.00920,3
180,Bot0,DEFEAT,0.00250,1
181,Bot0,VICTORY,0.01460,4
182,Bot0,DEFEAT,0.01050,4
183,Bot0,DEFEAT,0.00200,1
184,Bot0,DEFEAT,0.01670,2
185,Bot0,DEFEAT,0.09050,3
186,Bot0,DEFEAT,0.01370,8
187,Bot0,DEFEAT,0.01330,7
188,Bot0,DEFEAT,0.01110,2
189,Bot0,DEFEAT,0.03950,4
190,Bot0,DEFEAT,0.01310,5
191,Bot0,DEFEAT,0.01250,6
192,Bot0,DEFEAT,0.00250,1
193,Bot0,DEFEAT,0.01050,2
194,Bot0,DEFEAT,0.01330,4
195,Bot0,DEFEAT,0.00980,3
196,Bot0,DEFEAT,0.00330,2
197,Bot0,DEFEAT,0.01530,5
198,Bot0,DEFEAT,0.00990,3
199,Bot0,DEFEAT,0.01030,4
200,Bot0,DEFEAT,0.02000,13
201,Bot0,DEFEAT,0.01370,5
202,Bot0,DEFEAT,0.01510,9
203,Bot0,DEFEAT,0.01070,4
204,Bot0,DEFEAT,0.00990,4
205,Bot0,DEFEAT,0.00940,2
206,Bot0,DEFEAT,0.00820,3
207,Bot0,DEFEAT,0.01150,3
208,Bot0,DEFEAT,0.01240,6
209,Bot0,DEFEAT,0.01240,6
210,Bot0,DEFEAT,0.00980,3
211,Bot0,DEFEAT,0.01470,5
212,Bot0,DEFEAT,0.01180,6
213,Bot0,DEFEAT,0.01520,7
214,Bot0,DEFEAT,0.01480,7
215,Bot0,DEFEAT,0.00820,2
216,Bot0,DEFEAT,0.01150,4
217,Bot0,DEFEAT,0.01160,5
218,Bot0,DEFEAT,0.00950,3
219,Bot0,DEFEAT,0.01290,5
220,Bot0,DEFEAT,0.00790,2
221,Bot0,DEFEAT,0.01320,4
222,Bot0,DEFEAT,0.08570,9
223,Bot0,DEFEAT,0.00420,3
224,Bot0,DEFEAT,0.01290,4
225,Bot0,DEFEAT,0.00960,3
226,Bot0,DEFEAT,0.00290,2
227,Bot0,DEFEAT,0.01050,4
228,Bot0,DEFEAT,0.02070,11
229,Bot0,DEFEAT,0.00560,2
230,Bot0,DEFEAT,0.01040,2
231,Bot0,DEFEAT,0.00630,2
232,Bot0,DEFEAT,0.01320,4
233,Bot0,DEFEAT,0.01070,3
234,Bot0,DEFEAT,0.01200,4
235,Bot0,DEFEAT,0.01170,6
236,Bot0,DEFEAT,0.01630,9
237,Bot0,DEFEAT,0.00860,4
238,Bot0,DEFEAT,0.00230,1
239,Bot0,DEFEAT,0.00960,2
240,Bot0,DEFEAT,0.00170,1
241,Bot0,DEFEAT,0.00310,2
242,Bot0,DEFEAT,0.01750,11
243,Bot0,DEFEAT,0.00970,5
244,Bot0,DEFEAT,0.01630,4
245,Bot0,DEFEAT,0.00440,1
246,Bot0,DEFEAT,0.04610,4
247,Bot0,DEFEAT,0.01260,4
248,Bot0,DEFEAT,0.01180,2
249,Bot0,DEFEAT,0.01220,4
250,Bot0,DEFEAT,0.01190,4
251,Bot0,DEFEAT,0.01320,3
252,Bot0,DEFEAT,0.01280,5
253,Bot0,DEFEAT,0.01300,5
254,Bot0,DEFEAT,0.00630,2
255,Bot0,DEFEAT,0.00990,2
256,Bot0,DEFEAT,0.00610,4
257,Bot0,DEFEAT,0.01210,2
258,Bot0,DEFEAT,0.00570,2
259,Bot0,DEFEAT,0.01090,2
260,Bot0,DEFEAT,0.01050,3
261,Bot0,DEFEAT,0.01170,3
262,Bot0,DEFEAT,0.00900,2
263,Bot0,DEFEAT,0.01830,12
264,Bot0,DEFEAT,0.01300,6
265,Bot0,DEFEAT,0.01350,3
266,Bot0,DEFEAT,0.01180,3
267,Bot0,DEFEAT,0.01020,2
268,Bot0,DEFEAT,0.00920,3
269,Bot0,DEFEAT,0.01530,3
270,Bot0,DEFEAT,0.01180,4
271,Bot0,DEFEAT,0.02180,6
272,Bot0,DEFEAT,0.00210,2
273,Bot0,DEFEAT,0.01150,10
274,Bot0,DEFEAT,0.00940,5
275,Bot0,DEFEAT,0.00770,2
276,Bot0,DEFEAT,0.00150,1
277,Bot0,DEFEAT,0.00580,6
278,Bot0,DEFEAT,0.01180,4
279,Bot0,DEFEAT,0.00910,4
280,Bot0,DEFEAT,0.00780,3
281,Bot0,DEFEAT,0.01160,6
282,Bot0,DEFEAT,0.00960,7
283,Bot0,DEFEAT,0.00630,3
284,Bot0,DEFEAT,0.00970,4
285,Bot0,DEFEAT,0.00790,4
286,Bot0,DEFEAT,0.00800,2
287,Bot0,DEFEAT,0.00680,2
288,Bot0,DEFEAT,0.00990,5
289,Bot0,DEFEAT,0.00810,3
290,Bot0,DEFEAT,0.00730,3
291,Bot0,DEFEAT,0.00890,2
292,Bot0,DEFEAT,0.00890,4
293,Bot0,DEFEAT,0.00720,2
294,Bot0,DEFEAT,0.00910,2
295,Bot0,DEFEAT,0.00850,2
296,Bot0,DEFEAT,0.00840,2
297,Bot0,DEFEAT,0.00940,2
298,Bot0,DEFEAT,0.00190,2
299,Bot0,DEFEAT,0.00780,6
300,Bot0,DEFEAT,0.00770,2
301,Bot0,DEFEAT,0.00990,6
302,Bot0,DEFEAT,0.00150,1
303,Bot0,DEFEAT,0.02610,5
304,Bot0,DEFEAT,0.01010,5
305,Bot0,DEFEAT,0.00860,2
306,Bot0,DEFEAT,0.00190,2
307,Bot0,DEFEAT,0.00620,3
308,Bot0,DEFEAT,0.00930,3
309,Bot0,DEFEAT,0.03330,4
310,Bot0,DEFEAT,0.00770,3
311,Bot0,DEFEAT,0.00980,5
312,Bot0,DEFEAT,0.01170,8
313,Bot0,DEFEAT,0.00900,4
314,Bot0,DEFEAT,0.00940,8
315,Bot0,DEFEAT,0.01470,3
316,Bot0,DEFEAT,0.00810,4
317,Bot0,DEFEAT,0.00970,5
318,Bot0,DEFEAT,0.01230,6
319,Bot0,DEFEAT,0.00890,3
320,Bot0,DEFEAT,0.00900,3
321,Bot0,DEFEAT,0.00140,2
322,Bot0,DEFEAT,0.00800,5
323,Bot0,DEFEAT,0.00960,3
324,Bot0,DEFEAT,0.01470,7
325,Bot0,DEFEAT,0.00710,3
326,Bot0,DEFEAT,0.00160,1
327,Bot0,DEFEAT,0.00140,2
328,Bot0,DEFEAT,0.03000,7
329,Bot0,DEFEAT,0.00850,3
330,Bot0,DEFEAT,0.00320,6
331,Bot0,DEFEAT,0.00990,2
332,Bot0,DEFEAT,0.01150,3
333,Bot0,DEFEAT,0.00770,5
334,Bot0,DEFEAT,0.01050,4
335,Bot0,DEFEAT,0.00800,4
336,Bot0,DEFEAT,0.00710,2
337,Bot0,DEFEAT,0.00930,4
338,Bot0,DEFEAT,0.00660,2
339,Bot0,DEFEAT,0.00160,1
340,Bot0,DEFEAT,0.00990,4
341,Bot0,DEFEAT,0.00950,2
342,Bot0,DEFEAT,0.00210,3
343,Bot0,DEFEAT,0.00620,2
344,Bot0,DEFEAT,0.00900,4
345,Bot0,DEFEAT,0.00680,5
346,Bot0,DEFEAT,0.00300,3
347,Bot0,DEFEAT,0.01460,6
348,Bot0,DEFEAT,0.01020,2
349,Bot0,DEFEAT,0.00910,4
350,Bot0,DEFEAT,0.00900,4
351,Bot0,DEFEAT,0.00860,2
352,Bot0,DEFEAT,0.00800,3
353,Bot0,DEFEAT,0.00960,6
354,Bot0,DEFEAT,0.03160,2
355,Bot0,DEFEAT,0.00710,2
356,Bot0,DEFEAT,0.00950,4
357,Bot0,DEFEAT,0.00890,3
358,Bot0,DEFEAT,0.00820,2
359,Bot0,DEFEAT,0.00130,2
360,Bot0,DEFEAT,0.00850,2
361,Bot0,DEFEAT,0.00790,7
362,Bot0,DEFEAT,0.00770,3
363,Bot0,DEFEAT,0.00870,7
364,Bot0,DEFEAT,0.00900,3
365,Bot0,DEFEAT,0.00800,5
366,Bot0,DEFEAT,0.00820,3
367,Bot0,DEFEAT,0.00140,2
368,Bot0,DEFEAT,0.01100,4
369,Bot0,DEFEAT,0.01050,6
370,Bot0,DEFEAT,0.00300,2
