MatchId,BotType,Result,TimeMs,TotalClicks
176,0,DEFEAT,0.2056,3
177,0,DEFEAT,0.1210,3
178,0,DEFEAT,0.1038,3
179,0,DEFEAT,0.3165,6
180,0,DEFEAT,0.1202,3
181,0,DEFEAT,0.1242,1
182,0,DEFEAT,0.0631,1
183,0,DEFEAT,0.2916,7
184,0,DEFEAT,0.0903,2
185,0,DEFEAT,2.0633,5
186,0,DEFEAT,0.2291,2
187,0,DEFEAT,0.1075,3
188,0,DEFEAT,0.0544,1
189,0,DEFEAT,0.2886,4
190,0,DEFEAT,0.4552,5
191,0,DEFEAT,0.1287,1
192,0,DEFEAT,0.3158,7
193,0,DEFEAT,0.1215,3
194,0,DEFEAT,0.2047,3
195,0,DEFEAT,0.1434,3
196,0,DEFEAT,0.0620,1
197,0,DEFEAT,0.0572,1
198,0,DEFEAT,0.2700,3
199,0,DEFEAT,0.1539,2
200,0,DEFEAT,1.1860,6
201,0,DEFEAT,0.6022,3
202,0,DEFEAT,0.0897,2
203,0,DEFEAT,0.2634,4
204,0,DEFEAT,0.2455,2
205,0,DEFEAT,0.5702,4
206,0,DEFEAT,0.2252,6
207,0,DEFEAT,0.1435,3
208,0,DEFEAT,0.2835,7
209,0,DEFEAT,0.1925,2
210,0,DEFEAT,0.2707,5
211,0,DEFEAT,0.0842,2
212,0,DEFEAT,0.0912,2
213,0,DEFEAT,0.1188,1
214,0,DEFEAT,0.2776,8
215,0,DEFEAT,0.2109,2
216,0,DEFEAT,2.3446,5
217,0,DEFEAT,0.1983,4
218,0,DEFEAT,0.2236,4
219,0,DEFEAT,4.0516,1
220,0,DEFEAT,0.0447,3
221,0,DEFEAT,0.1150,2
222,0,DEFEAT,0.0905,2
223,0,DEFEAT,0.0956,2
224,0,DEFEAT,0.1096,3
225,0,DEFEAT,0.3644,8
226,0,DEFEAT,0.0979,2
227,0,DEFEAT,0.1940,3
228,0,DEFEAT,0.2567,5
229,0,DEFEAT,0.1954,5
230,0,DEFEAT,0.7501,8
231,0,DEFEAT,0.3980,4
232,0,DEFEAT,0.5653,5
233,0,DEFEAT,0.1285,2
234,0,DEFEAT,0.2137,2
235,0,DEFEAT,1.0402,6
236,0,DEFEAT,0.1702,5
237,0,DEFEAT,0.0539,1
238,0,DEFEAT,0.3011,6
239,0,DEFEAT,0.1320,4
240,0,DEFEAT,0.4310,11
241,0,DEFEAT,0.2297,6
242,0,DEFEAT,5.8310,4
243,0,DEFEAT,0.3229,4
244,0,DEFEAT,0.1960,6
245,0,DEFEAT,0.1746,2
246,0,DEFEAT,0.6115,5
247,0,DEFEAT,0.1810,4
248,0,DEFEAT,1.8304,4
249,0,DEFEAT,0.0806,1
250,0,DEFEAT,0.2443,8
251,0,DEFEAT,0.3927,5
252,0,DEFEAT,0.0920,2
